"","Run","LibraryName","BioProject","ScientificName","avgLength","LibraryStrategy","Platform","Sample","LibraryLayout","LibrarySelection"
"85","SRR6122616","PR2-3","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559175","PAIRED","size fractionation"
"86","SRR6122617","PR3-1","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559174","PAIRED","size fractionation"
"87","SRR6122608","PR3-2","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559183","PAIRED","size fractionation"
"88","SRR6122609","PR3-3","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559182","PAIRED","size fractionation"
"89","SRR6122690","PRB-1","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559101","PAIRED","size fractionation"
"90","SRR6122689","PRB-2","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559102","PAIRED","size fractionation"
"91","SRR6122688","PRB-3","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559103","PAIRED","size fractionation"
"92","SRR6122684","PRB10-1","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559107","PAIRED","size fractionation"
"93","SRR6122678","PRB10-2","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559113","PAIRED","size fractionation"
"94","SRR6122679","PRB10-3","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559112","PAIRED","size fractionation"
"95","SRR6122687","PRB5-1","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559104","PAIRED","size fractionation"
"96","SRR6122686","PRB5-2","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559105","PAIRED","size fractionation"
"97","SRR6122685","PRB5-3","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559106","PAIRED","size fractionation"
"98","SRR6122693","PRMG-1","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559098","PAIRED","size fractionation"
"99","SRR6122692","PRMG-2","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559099","PAIRED","size fractionation"
"100","SRR6122691","PRMG-3","PRJNA223222","Capsicum annuum",50,"RNA-Seq","ILLUMINA","SRS2559100","PAIRED","size fractionation"
"101","SRR8549402","Root-3","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS4342570","SINGLE","size fractionation"
"102","SRR8549403","Root-2","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS4342570","SINGLE","size fractionation"
"103","SRR8549404","Root-1","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS4342570","SINGLE","size fractionation"
"104","SRR8549399","Stem-3","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS4342571","SINGLE","size fractionation"
"105","SRR8549400","Stem-2","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS4342571","SINGLE","size fractionation"
"106","SRR8549401","Stem-1","PRJNA223222","Capsicum annuum",51,"RNA-Seq","ILLUMINA","SRS4342571","SINGLE","size fractionation"
"107","SRR6122676","Mock-0h-1","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559115","PAIRED","size fractionation"
"108","SRR6122677","Mock-0h-2","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559114","PAIRED","size fractionation"
"109","SRR6122682","Mock-0h-3","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559109","PAIRED","size fractionation"
"110","SRR6122666","Mock-1D-1","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559125","PAIRED","size fractionation"
"111","SRR6122669","Mock-1D-2","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559121","PAIRED","size fractionation"
"112","SRR6122668","Mock-1D-3","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559123","PAIRED","size fractionation"
"113","SRR6122671","Mock-2D-1","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559120","PAIRED","size fractionation"
"114","SRR6122670","Mock-2D-2","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559122","PAIRED","size fractionation"
"115","SRR6122673","Mock-2D-3","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559118","PAIRED","size fractionation"
"116","SRR6122683","Mock-30m-1","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559108","PAIRED","size fractionation"
"117","SRR6122680","Mock-30m-2","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559111","PAIRED","size fractionation"
"118","SRR6122681","Mock-30m-3","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559110","PAIRED","size fractionation"
"119","SRR6122672","Mock-3D-1","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559119","PAIRED","size fractionation"
"120","SRR6122665","Mock-3D-2","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559126","PAIRED","size fractionation"
"121","SRR6122664","Mock-3D-3","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559127","PAIRED","size fractionation"
"122","SRR6122674","Mock-4h-1","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559117","PAIRED","size fractionation"
"123","SRR6122675","Mock-4h-2","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559116","PAIRED","size fractionation"
"124","SRR6122667","Mock-4h-3","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559124","PAIRED","size fractionation"
"125","SRR6122660","Mock-Up-1","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559131","PAIRED","size fractionation"
"126","SRR6122661","Mock-Up-2","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559130","PAIRED","size fractionation"
"127","SRR6122654","PepMov-1D-1","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559136","PAIRED","size fractionation"
"128","SRR6122655","PepMov-1D-2","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559137","PAIRED","size fractionation"
"129","SRR6122637","PepMov-1D-3","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559154","PAIRED","size fractionation"
"130","SRR6122636","PepMov-2D-1","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559155","PAIRED","size fractionation"
"131","SRR6122635","PepMov-2D-2","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559156","PAIRED","size fractionation"
"132","SRR6122634","PepMov-2D-3","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559157","PAIRED","size fractionation"
"133","SRR6122662","PepMov-30m-1","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559129","PAIRED","size fractionation"
"134","SRR6122663","PepMov-30m-2","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559128","PAIRED","size fractionation"
"135","SRR6122656","PepMov-30m-3","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559135","PAIRED","size fractionation"
"136","SRR6122641","PepMov-3D-1","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559150","PAIRED","size fractionation"
"137","SRR6122640","PepMov-3D-2","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559151","PAIRED","size fractionation"
"138","SRR6122639","PepMov-3D-3","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559152","PAIRED","size fractionation"
"139","SRR6122657","PepMov-4h-1","PRJNA223222","Capsicum annuum",202,"RNA-Seq","ILLUMINA","SRS2559134","PAIRED","size fractionation"
